gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
PURA,-0.1225,0.5325,0.860562,0.832337,NS
UBN2,0.2347,0.2774,0.860803,0.899751,NS
NUDT3,-0.1117,0.5814,0.861078,0.825788,NS
SEPTIN7,0.1062,0.6117,0.861121,0.802102,NS
NES,-0.276,0.2338,0.861935,0.90958,NS
IGHM,0.1869,0.344,0.86242,0.877367,NS
PDP1,0.1383,0.4645,0.862492,0.844569,NS
MRPL11,-0.1284,0.4995,0.862655,0.838756,NS
NOL3,-0.1198,0.5319,0.863487,0.832337,NS
SLC35A4,0.1258,0.5067,0.863524,0.837048,NS
THEM6,-0.1189,0.5311,0.864705,0.832337,NS
FUBP1,-0.1054,0.5973,0.865024,0.820813,NS
GPS1,-0.0886,0.7082,0.865438,0.745204,NS
AKR1B1,-0.0985,0.6352,0.865882,0.784686,NS
PADI2,0.108,0.5752,0.866656,0.825788,NS
PIAS2,0.119,0.5222,0.866672,0.832337,NS
ADSL,-0.1063,0.5839,0.866827,0.825788,NS
PPP1R2,-0.1105,0.5601,0.867226,0.832337,NS
VAPB,-0.097,0.6372,0.867342,0.783058,NS
SQSTM1,0.118,0.5207,0.868093,0.832337,NS
COL7A1,-0.1453,0.4222,0.868235,0.860227,NS
PPME1,0.1616,0.3796,0.868284,0.871828,NS
EHD4,0.1262,0.484,0.868819,0.839093,NS
FBLN1,-0.1392,0.4386,0.868823,0.855788,NS
MICOS10,0.1616,0.3778,0.868863,0.871828,NS
HMOX1,-0.1799,0.3372,0.869632,0.879411,NS
OXSR1,-0.0859,0.7061,0.869644,0.745204,NS
TIAL1,0.115,0.5273,0.869711,0.832337,NS
HDDC2,-0.1088,0.557,0.869791,0.832337,NS
MT-ND3,-0.1448,0.418,0.869874,0.860227,NS
RPA1,-0.1117,0.5414,0.870027,0.832337,NS
TXN2,0.1124,0.5379,0.870045,0.832337,NS
TMEM126A,-0.1132,0.5313,0.870642,0.832337,NS
VBP1,-0.097,0.6185,0.870922,0.79519,NS
FLG2,0.2243,0.267,0.871194,0.899751,NS
LAMP2,-0.1352,0.443,0.871196,0.855788,NS
RPL13,0.1515,0.3943,0.871479,0.866109,NS
IFIT2,-0.1242,0.4809,0.871483,0.840335,NS
EIF3L,0.1188,0.5019,0.871671,0.838041,NS
HNRNPR,0.1028,0.5799,0.871687,0.825788,NS
GPI,0.0837,0.7111,0.871902,0.745204,NS
HEBP2,-0.1081,0.5502,0.87197,0.832337,NS
ACO1,-0.1005,0.5913,0.872122,0.825435,NS
CORO6,0.1714,0.3465,0.872211,0.877367,NS
RPL3,-0.1814,0.3257,0.872819,0.88593,NS
ECPAS,-0.0833,0.7077,0.873052,0.745204,NS
ATAD1,0.1101,0.5349,0.873143,0.832337,NS
UBL4A,-0.1253,0.4698,0.873281,0.844384,NS
CHCHD4,0.1247,0.4715,0.873395,0.844384,NS
MRPL1,0.1279,0.4589,0.873561,0.846768,NS
PUF60,-0.1021,0.5743,0.873749,0.826353,NS
EHBP1L1,0.1051,0.5575,0.873791,0.832337,NS
CRYBG3,-0.2367,0.2441,0.87547,0.908642,NS
FIS1,-0.1083,0.5317,0.875783,0.832337,NS
KLHL41,0.1666,0.3446,0.876193,0.877367,NS
TMEM120A,-0.1645,0.3485,0.876365,0.877367,NS
RASA4,-0.1361,0.421,0.876405,0.860227,NS
MACROD1,-0.0993,0.5757,0.876622,0.825788,NS
DHRS7B,-0.1268,0.4508,0.876715,0.852888,NS
KPNA4,0.0852,0.6687,0.877106,0.761685,NS
COQ10B,-0.14,0.4064,0.87725,0.861591,NS
SSBP1,0.1035,0.5494,0.877285,0.832337,NS
HIKESHI,0.0972,0.5839,0.877466,0.825788,NS
DDRGK1,0.1102,0.5146,0.877547,0.832337,NS
CD81,-0.1561,0.3631,0.87766,0.871828,NS
SNAP29,-0.1142,0.4953,0.877891,0.839093,NS
VWF,0.166,0.3385,0.878634,0.878506,NS
ESYT1,-0.1329,0.4222,0.878777,0.860227,NS
SYNM,-0.1663,0.3373,0.878811,0.879411,NS
LMOD3,0.1639,0.342,0.87891300000000006,0.877367,NS
ADRM1,-0.1134,0.49370000000000003,0.879014,0.839093,NS
HNRNPA3,0.1312,0.426,0.879262,0.860227,NS
LUM,0.1252,0.4434,0.879966,0.855788,NS
NUDC,-0.0849,0.652,0.880345,0.769548,NS
FARSB,0.1232,0.447,0.880935,0.85526,NS
SMTNL1,-0.1491,0.3678,0.881389,0.871828,NS
HSPB3,0.1306,0.4191,0.881571,0.860227,NS
NDUFA6,0.131,0.417,0.881856,0.860227,NS
UBXN6,0.1079,0.5041,0.88227,0.838041,NS
TIMM13,0.1046,0.5192,0.882476,0.832337,NS
PSMB5,-0.1039,0.5191,0.88324,0.832337,NS
KHSRP,-0.1084,0.4961,0.883564,0.839093,NS
PLN,-0.1425,0.3768,0.883661,0.871828,NS
GYS1,0.1036,0.5159,0.884253,0.832337,NS
PNPT1,-0.1014,0.5263,0.884373,0.832337,NS
TMEM198,-0.1427,0.3727,0.884708,0.871828,NS
ACY1,0.1109,0.478,0.885082,0.841111,NS
MAPRE3,0.146,0.3618,0.885458,0.871828,NS
SERPINB6,0.0989,0.534,0.885481,0.832337,NS
CPNE3,-0.0931,0.5671,0.885545,0.831703,NS
RPL28,0.1323,0.3968,0.886128,0.866109,NS
MPI,-0.0904,0.5805,0.8862,0.825788,NS
BCKDHA,-0.1274,0.4098,0.886723,0.860227,NS
ZYX,0.0935,0.5577,0.886811,0.832337,NS
RPL31,0.1167,0.4467,0.886885,0.85526,NS
CCDC124,0.1122,0.4643,0.886986,0.844569,NS
GAMT,-0.1014,0.5134,0.88701,0.832337,NS
STOML2,0.0896,0.5786,0.887497,0.825788,NS
HP1BP3,0.124,0.4151,0.888269,0.860227,NS
SFPQ,0.1279,0.4021,0.888336,0.865146,NS
MRPS21,0.1426,0.3601,0.888515,0.872874,NS
RPL5,0.1392,0.3671,0.888981,0.871828,NS
MT-ND2,0.1431,0.3567,0.88909,0.874582,NS
OPA1,0.0988,0.5163,0.889133,0.832337,NS
HLA-A,0.1268,0.3996,0.889891,0.865309,NS
APRT,0.0918,0.55,0.890253,0.832337,NS
RPL36,0.1396,0.3607,0.890494,0.872874,NS
DCUN1D1,0.1164,0.4315,0.890774,0.857594,NS
IFITM1,-0.1153,0.4351,0.890893,0.855788,NS
ADH5,-0.0981,0.5101,0.891202,0.835635,NS
MRPL38,0.1232,0.4033,0.891927,0.865115,NS
PDXP,-0.1176,0.4223,0.891938,0.860227,NS
GCLM,0.1356,0.3651,0.892222,0.871828,NS
PFKFB2,0.1141,0.4334,0.892403,0.855788,NS
MDP1,-0.1107,0.4462,0.892464,0.85526,NS
WDR1,0.0844,0.5812,0.893147,0.825788,NS
PRMT1,-0.0969,0.5062,0.893171,0.837048,NS
GRSF1,0.1285,0.3809,0.893403,0.871828,NS
NDUFS2,0.1194,0.4095,0.893502,0.860227,NS
HNRNPH3,-0.1275,0.3835,0.893535,0.871828,NS
DYNC1I2,0.0892,0.5471,0.89368,0.832337,NS
CAPN3,0.1161,0.4196,0.893912,0.860227,NS
YWHAH,0.0832,0.5844,0.894053,0.825788,NS
RPL3L,0.1588,0.3063,0.894064,0.893193,NS
ESYT2,0.1025,0.4724,0.894454,0.843999,NS
ST13,-0.0754,0.6419,0.894563,0.777083,NS
SDHC,-0.1535,0.3144,0.894834,0.889224,NS
ACADVL,-0.0885,0.5446,0.895006,0.832337,NS
TMEM38A,-0.126,0.3817,0.895187,0.871828,NS
PAFAH2,-0.1142,0.4205,0.895364,0.860227,NS
KRT19,0.1809,0.2641,0.895818,0.899751,NS
QARS1,0.0767,0.6223,0.89596,0.794303,NS
