gene,pathway,database,classification,logFC_Aging,logFC_Training_Old,pathway_pvalue
HADHA,Metabolism,GO_Slim,Rev. (Age Up),0.476,-0.0764,0.1703
HADHB,Metabolism,GO_Slim,Rev. (Age Up),0.411,-0.1095,0.1703
HMGCL,Metabolism,GO_Slim,Rev. (Age Up),0.6639,0.0062,0.1703
IDI1,Metabolism,GO_Slim,Rev. (Age Up),0.8735,-0.3417,0.1703
MCCC1,Metabolism,GO_Slim,Rev. (Age Up),0.6282,-0.1374,0.1703
MCEE,Metabolism,GO_Slim,Rev. (Age Up),0.8339,-0.1316,0.1703
MPST,Metabolism,GO_Slim,Rev. (Age Up),0.4218,-0.2658,0.1703
MT2A,Metabolism,GO_Slim,Rev. (Age Up),0.7041,-0.5348,0.1703
NAXD,Metabolism,GO_Slim,Rev. (Age Up),0.653,-0.154,0.1703
NXN,Metabolism,GO_Slim,Rev. (Age Up),0.5872,-0.0543,0.1703
PCYT2,Metabolism,GO_Slim,Rev. (Age Up),0.2227,-0.4799,0.1703
PLIN5,Metabolism,GO_Slim,Rev. (Age Up),0.6011,-0.3906,0.1703
PNPO,Metabolism,GO_Slim,Rev. (Age Up),0.6635,-0.2009,0.1703
SOD2,Metabolism,GO_Slim,Rev. (Age Up),0.8246,-0.0624,0.1703
MAVS,Mitochondria & Energy,GO_Slim,Rev. (Age Up),0.3784,-0.1627,0.7448
CA3,Other,Other,Rev. (Age Up),0.6141,-0.073,1
MAOA,Other,Other,Rev. (Age Up),0.7757,-0.1941,1
MRPS36,Other,Other,Rev. (Age Up),0.5386,-0.2186,1
PLIN2,Other,Other,Rev. (Age Up),1.1196,-0.4254,1
PLIN4,Other,Other,Rev. (Age Up),0.6123,-0.2876,1
SELENBP1,Other,Other,Rev. (Age Up),0.5984,-0.2522,1
SUOX,Other,Other,Rev. (Age Up),0.5274,-0.184,1
TMPO,Other,Other,Rev. (Age Up),0.5723,-0.4115,1
VWA8,Other,Other,Rev. (Age Up),0.6641,-0.2903,1
COPS7B,Protein Homeostasis,GO_Slim,Rev. (Age Up),1.0134,-0.4555,0.8862
CTSD,Protein Homeostasis,GO_Slim,Rev. (Age Up),0.4699,-0.1572,0.8862
CTSZ,Protein Homeostasis,GO_Slim,Rev. (Age Up),1.0453,-0.0079,0.8862
FXN,Protein Homeostasis,GO_Slim,Rev. (Age Up),0.6213,-0.1459,0.8862
PRUNE1,Protein Homeostasis,GO_Slim,Rev. (Age Up),0.6825,-0.3554,0.8862
PSAP,Protein Homeostasis,GO_Slim,Rev. (Age Up),0.6804,-0.1473,0.8862
RNF114,Protein Homeostasis,GO_Slim,Rev. (Age Up),0.4864,-0.2047,0.8862
SLC25A46,Protein Homeostasis,GO_Slim,Rev. (Age Up),0.9433,-0.0505,0.8862
CPT2,Transport,GO_Slim,Rev. (Age Up),0.4309,-0.1527,0.5905
MICU1,Transport,GO_Slim,Rev. (Age Up),0.7167,-0.0824,0.5905
SLC27A1,Transport,GO_Slim,Rev. (Age Up),0.4153,-0.3523,0.5905
TST,Transport,GO_Slim,Rev. (Age Up),0.4705,-0.1731,0.5905
