gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
PPIB,0.2244,0.3002,0.653867,0.331176,0.978821,NS,Exacerbated Up,TRUE
MYL12B,0.1919,0.3325,0.76784,0.286842,0.929163,NS,Exacerbated Up,FALSE
NPEPL1,0.3696,0.1547,0.331317,0.844715,0.847948,NS,Exacerbated Up,FALSE
ACAD8,0.4489,0.0751,0.093914,0.954245,0.43717,NS,Exacerbated Up,TRUE
RPA2,0.5005,0.0235,0.25097,0.997168,0.434464,NS,Exacerbated Up,TRUE
SERPINA1,0.4325,-0.091,0.161905,0.945859,0.226912,NS,Reversed (Aging Up / Training Down),FALSE
MICOS13,-0.4325,0.091,0.177044,0.947051,0.24231,NS,Reversed (Aging Down / Training Up),TRUE
AKT2,-0.2654,0.2571,0.654173,0.492616,0.257203,NS,Reversed (Aging Down / Training Up),TRUE
IQGAP1,0.122,0.4003,0.912469,0.053983,0.666104,NS,Exacerbated Up,TRUE
S100A4,0.0838,0.4382,0.97611,0.282877,0.718112,NS,Exacerbated Up,FALSE
NUDT19,-0.4423,0.0788,0.341474,0.971734,0.40518,NS,Reversed (Aging Down / Training Up),TRUE
HSPB2,-0.259,0.2621,0.51291,0.424201,0.144927,NS,Reversed (Aging Down / Training Up),FALSE
CAMK2A,-0.2941,0.2265,0.570604,0.679799,0.300312,NS,Reversed (Aging Down / Training Up),TRUE
RPS20,-0.3254,0.1937,0.235127,0.609328,0.095123,NS,Reversed (Aging Down / Training Up),FALSE
FAHD2A,0.4664,-0.0516,0.229612,0.98633,0.349315,NS,Reversed (Aging Up / Training Down),TRUE
MAP1LC3B2,-0.4848,0.033,0.158224,0.992046,0.226624,NS,Reversed (Aging Down / Training Up),TRUE
SULT1A1,0.3519,-0.1644,0.510318,0.854889,0.381585,NS,Reversed (Aging Up / Training Down),TRUE
