pathway,database,set_size,n_sig_contrasts,NES_Aging,NES_Training_Young,NES_Training_Old,NES_Interaction,NES_Reversal,padj_Aging,padj_Training_Young,padj_Training_Old,padj_Interaction,padj_Reversal,survives_J03,survives_J05,survives_J07
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,Reactome,32,4,-2.471,1.507,2.671,1.902,2.736,2.32e-6,0.05806,9.764e-10,0.00374,4.748e-10,FALSE,FALSE,TRUE
REACTOME_ABC_TRANSPORTER_DISORDERS,Reactome,34,4,-2.406,2.201,0.97,-1.924,2.218,4.171e-6,5.136e-5,0.6882,0.002858,1.122e-4,FALSE,FALSE,TRUE
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,Reactome,34,4,-2.406,2.201,0.97,-1.924,2.218,4.171e-6,5.136e-5,0.6882,0.002858,1.122e-4,FALSE,FALSE,FALSE
REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION,Reactome,33,4,-2.374,2.341,1.031,-2.016,2.244,4.171e-6,9.078e-6,0.6328,0.001509,1.122e-4,FALSE,FALSE,FALSE
REACTOME_CIRCADIAN_CLOCK,Reactome,43,4,-2.349,2.072,1.05,-1.734,2.128,5.309e-6,1.72e-4,0.6303,0.008184,1.252e-4,FALSE,TRUE,TRUE
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,Reactome,38,4,-2.367,2.237,1.068,-1.942,2.293,5.899e-6,2.728e-5,0.5945,0.001638,4.101e-5,FALSE,TRUE,TRUE
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,Reactome,33,4,-2.338,2.244,0.769,-2.026,2.107,5.899e-6,3.417e-5,0.912,0.001458,3.207e-4,FALSE,FALSE,TRUE
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,Reactome,33,4,-2.338,2.244,0.769,-2.026,2.107,5.899e-6,3.417e-5,0.912,0.001458,3.207e-4,FALSE,FALSE,FALSE
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,Reactome,34,4,-2.377,2.363,1.03,-2.049,2.257,5.899e-6,9.078e-6,0.6328,0.001458,5.924e-5,FALSE,FALSE,TRUE
REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,Reactome,33,4,-2.34,2.337,1.136,-1.888,2.186,5.899e-6,9.078e-6,0.5254,0.003132,1.409e-4,FALSE,FALSE,FALSE
REACTOME_UCH_PROTEINASES,Reactome,38,4,-2.369,2.239,1.23,-1.808,2.329,5.899e-6,2.728e-5,0.4128,0.006085,2.255e-5,FALSE,TRUE,TRUE
REACTOME_PCP_CE_PATHWAY,Reactome,40,4,-2.294,2.412,1.185,-2.132,2.117,8.568e-6,4.466e-6,0.4615,7.12e-4,4.684e-4,FALSE,TRUE,TRUE
REACTOME_DEGRADATION_OF_DVL,Reactome,33,4,-2.279,2.342,0.985,-2.026,2.145,1.387e-5,9.078e-6,0.6796,0.001458,2.213e-4,FALSE,FALSE,FALSE
REACTOME_HEDGEHOG_ON_STATE,Reactome,33,4,-2.279,2.342,0.985,-2.026,2.145,1.387e-5,9.078e-6,0.6796,0.001458,2.213e-4,FALSE,TRUE,TRUE
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,Reactome,179,4,-1.912,1.453,1.768,0.92,2.136,1.387e-5,0.01475,4.7e-4,0.7785,7.056e-8,TRUE,TRUE,TRUE
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,Reactome,37,4,-2.319,2.357,1.11,-1.93,2.222,1.387e-5,9.078e-6,0.5502,0.002329,7.317e-5,FALSE,FALSE,TRUE
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,Reactome,50,4,-2.242,2.039,0.838,-1.965,1.988,1.445e-5,1.93e-4,0.8719,0.001674,2.594e-4,TRUE,FALSE,TRUE
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,Reactome,32,4,-2.333,2.32,1.032,-1.992,2.214,1.529e-5,1.111e-5,0.6328,0.00214,1.252e-4,FALSE,FALSE,TRUE
REACTOME_DEGRADATION_OF_AXIN,Reactome,32,4,-2.333,2.32,1.032,-1.992,2.214,1.529e-5,1.111e-5,0.6328,0.00214,1.252e-4,FALSE,FALSE,FALSE
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,Reactome,32,4,-2.333,2.32,1.032,-1.992,2.214,1.529e-5,1.111e-5,0.6328,0.00214,1.252e-4,FALSE,FALSE,TRUE
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY,Reactome,32,4,-2.333,2.32,1.032,-1.992,2.214,1.529e-5,1.111e-5,0.6328,0.00214,1.252e-4,FALSE,FALSE,FALSE
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,Reactome,34,4,-2.32,2.025,0.992,-1.661,2.194,1.529e-5,8.925e-4,0.6757,0.02146,1.252e-4,FALSE,TRUE,TRUE
REACTOME_STABILIZATION_OF_P53,Reactome,32,4,-2.333,2.32,1.032,-1.992,2.214,1.529e-5,1.111e-5,0.6328,0.00214,1.252e-4,FALSE,FALSE,FALSE
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,Reactome,32,4,-2.333,2.32,1.032,-1.992,2.214,1.529e-5,1.111e-5,0.6328,0.00214,1.252e-4,FALSE,TRUE,TRUE
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G,Reactome,35,4,-2.281,2.232,0.992,-1.838,2.198,1.537e-5,3.792e-5,0.6757,0.00615,8.667e-5,FALSE,FALSE,FALSE
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,Reactome,41,4,-2.243,2.106,1.332,-1.599,2.135,1.67e-5,1.521e-4,0.2955,0.03049,1.409e-4,FALSE,TRUE,TRUE
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,Reactome,38,4,-2.294,2.087,0.724,-1.86,2.154,1.801e-5,2.598e-4,0.9541,0.003592,1.962e-4,FALSE,FALSE,TRUE
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,Reactome,36,4,-2.26,2.38,1.022,-1.983,2.024,2.018e-5,9.078e-6,0.6398,0.001458,5.359e-4,FALSE,FALSE,TRUE
REACTOME_FORMATION_OF_PARAXIAL_MESODERM,Reactome,31,4,-2.272,2.301,1.138,-1.952,2.179,2.17e-5,9.078e-6,0.5254,0.001638,1.806e-4,FALSE,TRUE,TRUE
REACTOME_GASTRULATION,Reactome,31,4,-2.272,2.301,1.138,-1.952,2.179,2.17e-5,9.078e-6,0.5254,0.001638,1.806e-4,TRUE,TRUE,TRUE
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC,Reactome,31,4,-2.272,2.301,1.138,-1.952,2.179,2.17e-5,9.078e-6,0.5254,0.001638,1.806e-4,FALSE,FALSE,TRUE
REACTOME_SOMITOGENESIS,Reactome,31,4,-2.272,2.301,1.138,-1.952,2.179,2.17e-5,9.078e-6,0.5254,0.001638,1.806e-4,FALSE,FALSE,FALSE
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,Reactome,33,4,-2.217,2.351,1.368,-2.043,2.22,2.697e-5,9.078e-6,0.2813,0.001458,1.252e-4,FALSE,FALSE,TRUE
REACTOME_DOWNSTREAM_TCR_SIGNALING,Reactome,40,4,-2.2,2.011,-0.725,-1.972,1.965,3.236e-5,4.943e-4,0.9555,0.001509,0.002601,FALSE,TRUE,TRUE
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,Reactome,34,4,-2.261,2.219,0.715,-2.056,2.002,3.284e-5,3.788e-5,0.9517,0.001458,8.978e-4,FALSE,FALSE,FALSE
REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS,Reactome,35,4,-2.223,2.266,0.731,-2.06,1.994,3.511e-5,2.376e-5,0.9453,0.001381,7.156e-4,FALSE,FALSE,TRUE
REACTOME_METABOLISM_OF_POLYAMINES,Reactome,33,4,-2.187,2.286,1.096,-1.939,2.107,4.361e-5,1.634e-5,0.5635,0.002116,3.207e-4,FALSE,FALSE,FALSE
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,Reactome,35,4,-2.2,2.237,0.847,-2.026,2.08,4.652e-5,3.469e-5,0.8549,0.001509,2.551e-4,FALSE,FALSE,FALSE
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,Reactome,35,4,-2.2,2.237,0.847,-2.026,2.08,4.652e-5,3.469e-5,0.8549,0.001509,2.551e-4,FALSE,TRUE,TRUE
REACTOME_REGULATION_OF_APOPTOSIS,Reactome,34,4,-2.245,2.364,1.1,-2.014,2.194,4.716e-5,9.078e-6,0.563,0.001509,1.252e-4,FALSE,FALSE,FALSE
REACTOME_DNA_REPLICATION,Reactome,45,4,-2.176,1.802,0.918,-1.523,1.904,5.173e-5,0.002981,0.7607,0.04426,0.001993,TRUE,TRUE,TRUE
REACTOME_KEAP1_NFE2L2_PATHWAY,Reactome,58,4,-2.095,1.885,0.733,-1.748,1.843,5.173e-5,5.525e-4,0.9555,0.005931,0.001993,FALSE,TRUE,TRUE
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,Reactome,41,4,-2.155,2.027,1.226,-1.596,1.941,5.526e-5,4.959e-4,0.4099,0.03132,0.001183,TRUE,TRUE,TRUE
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,Reactome,36,4,-2.189,2.26,0.722,-2.065,1.967,5.526e-5,2.533e-5,0.9517,0.001068,0.001091,FALSE,TRUE,FALSE
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,Reactome,35,4,-2.185,2.362,0.973,-1.989,2.085,5.743e-5,9.078e-6,0.6882,0.001645,2.517e-4,FALSE,FALSE,FALSE
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,Reactome,35,4,-2.184,2.335,0.968,-2.024,2.065,5.747e-5,1.071e-5,0.6882,0.001509,3.037e-4,FALSE,FALSE,TRUE
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,Reactome,34,4,-2.223,2.343,0.98,-2.018,2.092,5.918e-5,9.078e-6,0.6796,0.001509,3.407e-4,FALSE,FALSE,TRUE
REACTOME_CLEC7A_DECTIN_1_SIGNALING,Reactome,44,4,-2.157,1.817,-0.734,-1.91,1.942,5.918e-5,0.00516,0.9555,0.00238,0.001183,FALSE,TRUE,TRUE
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,Reactome,35,4,-2.173,2.337,1.126,-1.875,2.127,5.918e-5,1.064e-5,0.5276,0.004358,1.642e-4,FALSE,TRUE,TRUE
REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS,Reactome,34,4,-2.223,2.343,0.98,-2.018,2.092,5.918e-5,9.078e-6,0.6796,0.001509,3.407e-4,FALSE,FALSE,FALSE
REACTOME_PROTEASOME_ASSEMBLY,Reactome,38,4,-2.199,2.323,1.328,-2.033,2.152,5.918e-5,9.078e-6,0.2955,0.001381,1.993e-4,FALSE,FALSE,TRUE
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1,Reactome,34,4,-2.223,2.343,0.98,-2.018,2.092,5.918e-5,9.078e-6,0.6796,0.001509,3.407e-4,FALSE,FALSE,FALSE
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,Reactome,34,4,-2.223,2.343,0.98,-2.018,2.092,5.918e-5,9.078e-6,0.6796,0.001509,3.407e-4,FALSE,FALSE,TRUE
REACTOME_STRIATED_MUSCLE_CONTRACTION,Reactome,28,4,-2.3,-1.912,1.392,2.385,2.229,5.918e-5,0.002514,0.2679,3.465e-5,1.252e-4,FALSE,FALSE,FALSE
REACTOME_TCR_SIGNALING,Reactome,43,4,-2.154,2.065,-0.68,-2.028,1.907,5.918e-5,1.862e-4,0.9698,0.001381,0.001273,FALSE,FALSE,FALSE
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,Reactome,42,4,-2.194,2.078,1.074,-1.672,2.096,6.072e-5,1.93e-4,0.5843,0.01744,2.345e-4,FALSE,FALSE,TRUE
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,Reactome,38,4,-2.19,2.23,0.864,-2.071,2.171,6.724e-5,2.866e-5,0.8449,0.001068,0.00017340000000000001,FALSE,FALSE,FALSE
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,Reactome,49,4,-2.077,1.784,-0.691,-1.731,1.767,7.38e-5,0.005297,0.9698,0.008833,0.00575399999999999,FALSE,FALSE,FALSE
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,Reactome,36,4,-2.152,2.24,0.678,-2.089,1.889,8.176e-5,3.359e-5,0.9693,8.91e-4,0.002481,FALSE,FALSE,FALSE
REACTOME_SIGNALING_BY_HEDGEHOG,Reactome,47,4,-2.119,2.295,1.152,-2.067,2.024,9.464e-5,9.078e-6,0.484,7.869e-4,2.517e-4,TRUE,FALSE,TRUE
REACTOME_HEDGEHOG_OFF_STATE,Reactome,44,4,-2.115,2.237,1.186,-1.972,2.04,1.098e-4,2.183e-5,0.4595,0.001509,4.469e-4,FALSE,TRUE,FALSE
REACTOME_MUSCLE_CONTRACTION,Reactome,72,4,-1.977,0.907,1.64,1.606,1.997,1.129e-4,0.7394,0.04685,0.01428,2.098e-4,TRUE,TRUE,TRUE
REACTOME_REGULATION_OF_RAS_BY_GAPS,Reactome,35,4,-2.114,2.274,0.912,-2,1.969,1.225e-4,2.183e-5,0.7607,0.00162,8.855e-4,FALSE,FALSE,TRUE
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,Reactome,56,4,-2.045,1.855,0.943,-1.633,1.888,1.695e-4,0.001629,0.722,0.01422,0.001183,FALSE,FALSE,FALSE
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,Reactome,47,4,-2.075,1.906,-0.688,-1.96,1.892,1.774e-4,0.001628,0.9698,0.001509,0.001064,FALSE,FALSE,TRUE
REACTOME_PTEN_REGULATION,Reactome,43,4,-2.069,2.173,1.184,-1.728,2.043,1.887e-4,3.417e-5,0.46,0.008204,2.588e-4,TRUE,TRUE,TRUE
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,Reactome,43,4,-2.065,2.173,0.777,-1.976,1.938,1.949e-4,3.417e-5,0.9173,0.001509,9.489e-4,TRUE,TRUE,TRUE
REACTOME_INTERLEUKIN_1_SIGNALING,Reactome,44,4,-2.07,1.819,0.68,-1.53,1.881,2.009e-4,0.00516,0.9698,0.04272,0.00221,FALSE,TRUE,TRUE
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,Reactome,40,4,-2.064,2.092,0.811,-1.915,1.895,2.238e-4,1.797e-4,0.8972,0.002116,0.004662,FALSE,FALSE,FALSE
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,Reactome,59,4,-1.993,2.238,0.946,-2.118,1.898,2.281e-4,9.078e-6,0.722,2.423e-4,8.352e-4,TRUE,TRUE,TRUE
REACTOME_SYNTHESIS_OF_DNA,Reactome,39,4,-2.111,1.865,0.639,-1.651,1.852,2.29e-4,0.003816,0.9808,0.01972,0.002756,FALSE,FALSE,TRUE
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,Reactome,35,4,-2.047,2.364,0.941,-2.067,1.916,3.213e-4,9.078e-6,0.7205,0.001381,0.001452,FALSE,FALSE,FALSE
REACTOME_SIGNALING_BY_NOTCH4,Reactome,35,4,-2.047,2.364,0.941,-2.067,1.916,3.213e-4,9.078e-6,0.7205,0.001381,0.001452,FALSE,TRUE,TRUE
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,Reactome,39,4,-2.058,2.217,1.033,-1.737,1.971,5.122e-4,4.439e-5,0.6328,0.01114,8.846e-4,FALSE,TRUE,TRUE
REACTOME_MAPK6_MAPK4_SIGNALING,Reactome,41,4,-1.946,2.332,1.037,-2.031,1.895,6.569e-4,9.078e-6,0.6328,0.001458,0.001876,FALSE,TRUE,TRUE
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,Reactome,46,4,-1.926,2.16,0.889,-1.861,1.952,6.977e-4,3.999e-5,0.808,0.003841,0.001091,FALSE,TRUE,TRUE
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Reactome,49,4,1.908,0.734,-1.868,-1.502,-2.089,7.123e-4,0.9422,0.007631,0.04664,2.204e-4,TRUE,TRUE,TRUE
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,Reactome,43,4,-1.932,2.011,0.973,-1.568,1.85,0.001121,4.083e-4,0.6882,0.03049,0.001993,FALSE,FALSE,TRUE
REACTOME_NEDDYLATION,Reactome,71,4,-1.902,1.837,-0.962,-1.99,1.539,0.001121,8.375e-4,0.7133,5.291e-4,0.04069,TRUE,TRUE,TRUE
REACTOME_SIGNALING_BY_WNT,Reactome,70,4,-1.833,1.777,0.857,-1.534,1.629,0.001386,0.001599,0.8673,0.03114,0.01743,FALSE,TRUE,TRUE
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,Reactome,74,4,-1.785,1.863,0.881,-1.746,1.634,0.001813,9.006e-4,0.8492,0.005073,0.01627,FALSE,FALSE,FALSE
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,Reactome,49,4,-1.807,2.017,0.995,-1.866,1.736,0.001879,4.083e-4,0.6757,0.003295,0.008671,FALSE,TRUE,TRUE
REACTOME_SARS_COV_1_HOST_INTERACTIONS,Reactome,52,4,-1.824,1.646,2.302,1.183,2.243,0.001894,0.01518,6.326e-6,0.3183,2.61e-5,TRUE,TRUE,TRUE
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,Reactome,48,4,-1.853,2.128,1.233,-1.7,1.778,0.002302,1.156e-4,0.4021,0.01117,0.004266,FALSE,FALSE,TRUE
REACTOME_MITOTIC_G2_G2_M_PHASES,Reactome,64,4,-1.762,2.625,1.665,-2.2,1.835,0.003827,2.409e-9,0.05172,4.046e-5,0.00283,TRUE,TRUE,TRUE
REACTOME_SIGNALING_BY_NOTCH,Reactome,44,4,-1.826,2.044,0.72,-1.827,1.71,0.004014,4.513e-4,0.9555,0.005154,0.01777,TRUE,TRUE,TRUE
REACTOME_M_PHASE,Reactome,100,4,-1.69,1.851,1.123,-1.608,1.616,0.004473,3.342e-4,0.484,0.006412,0.01481,FALSE,TRUE,TRUE
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,Reactome,28,4,1.901,0.747,-1.793,-1.584,-1.849,0.005719,0.9074,0.03713,0.04664,0.01103,FALSE,FALSE,TRUE
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,Reactome,33,4,-1.773,1.995,1.804,-1.191,1.768,0.01435,0.001094,0.01892,0.3254,0.01547,FALSE,TRUE,TRUE
REACTOME_COMPLEX_I_BIOGENESIS,Reactome,49,4,-1.659,-3.082,0.91,3.086,1.672,0.02393,9.626e-16,0.7811,8.268e-18,0.01807,FALSE,FALSE,TRUE
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Reactome,24,4,-1.7,1.945,1.917,-1.097,1.948,0.02577,0.002981,0.01025,0.471,9.489e-4,TRUE,TRUE,TRUE
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,Reactome,11,4,-1.743,1.706,2.028,0.678,1.828,0.0321,0.02682,0.002024,0.9236,0.015,FALSE,TRUE,TRUE
REACTOME_SARS_COV_2_HOST_INTERACTIONS,Reactome,61,4,-1.584,1.48,2.347,1.402,2.203,0.0321,0.0425,3.289e-7,0.08895,5.914e-5,TRUE,TRUE,TRUE
REACTOME_APOPTOSIS,Reactome,69,4,-1.53,1.839,0.997,-1.668,1.563,0.04417,8.375e-4,0.6757,0.00817,0.03431,TRUE,TRUE,TRUE
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,Reactome,14,4,-1.113,2.401,2.308,-1.772,1.71,0.514,5.354e-6,3.049e-5,0.02139,0.0462,TRUE,TRUE,TRUE
REACTOME_DNA_REPLICATION_PRE_INITIATION,Reactome,42,3,-2.28,1.738,0.883,-1.45,2.006,1.858e-5,0.01035,0.8088,0.08214,6.583e-4,FALSE,FALSE,FALSE
REACTOME_S_PHASE,Reactome,41,3,-2.081,1.868,0.883,-1.485,1.864,1.381e-4,0.002969,0.808,0.07088,0.002623,FALSE,FALSE,FALSE
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,Reactome,48,3,-1.992,1.684,0.618,-1.343,1.803,5.704e-4,0.01466,0.9843,0.1468,0.003462,TRUE,FALSE,FALSE
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,Reactome,46,3,-1.904,1.917,1.08,-1.423,1.892,9.747e-4,0.001367,0.5671,0.08981,0.001993,FALSE,FALSE,TRUE
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,Reactome,63,3,-1.839,2.082,1.422,-1.417,1.844,0.001386,3.788e-5,0.1611,0.07259,0.001452,FALSE,TRUE,TRUE
REACTOME_MAPK1_MAPK3_SIGNALING,Reactome,74,3,-1.686,1.865,1.418,-1.194,1.753,0.006304,9.004e-4,0.1506,0.264,0.002807,TRUE,TRUE,TRUE
REACTOME_G2_M_CHECKPOINTS,Reactome,47,3,-1.696,1.74,0.474,-1.569,1.566,0.01499,0.009479,0.9998,0.02453,0.0544,FALSE,TRUE,TRUE
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,Reactome,51,3,-1.65,1.78,-0.825,-1.802,1.478,0.02337,0.002981,0.9055,0.004738,0.09332,FALSE,FALSE,FALSE
REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT,Reactome,13,3,1.755,-1.653,0.563,1.863,-1.294,0.03269,0.03826,0.9815,0.007931,0.3146,TRUE,TRUE,TRUE
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,Reactome,18,3,-1.652,-2.142,-2.02,1.518,0.864,0.04429,4.039e-4,0.0102,0.09515,0.8051,FALSE,TRUE,TRUE
REACTOME_DEUBIQUITINATION,Reactome,66,3,-1.537,1.729,-1.136,-1.848,1.31,0.04692,0.00516,0.4727,0.00162,0.1985,TRUE,TRUE,TRUE
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,Reactome,27,3,-1.606,-2.403,-2.042,2.033,1.068,0.05261,9.29e-6,0.004883,0.001509,0.5541,TRUE,TRUE,TRUE
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,Reactome,12,3,-1.473,2.006,1.82,-1.734,1.634,0.1757,0.002969,0.03827,0.02862,0.07074,FALSE,TRUE,TRUE
REACTOME_RHO_GTPASE_EFFECTORS,Reactome,74,3,0.975,1.904,1.661,-1.616,0.709,0.6985,5.681e-4,0.04275,0.01576,0.9822,TRUE,TRUE,TRUE
REACTOME_CILIUM_ASSEMBLY,Reactome,35,3,-0.893,2.269,2.243,-1.874,1.525,0.8201,2.268e-5,4.401e-5,0.004524,0.08464,TRUE,TRUE,TRUE
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Reactome,44,3,-0.899,2.421,1.889,-1.769,1.324,0.8201,2.579e-6,0.006306,0.00849,0.2111,TRUE,TRUE,TRUE
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,Reactome,22,3,-0.881,2.108,1.947,-1.914,1.358,0.8201,3.783e-4,0.0102,0.004836,0.2322,FALSE,TRUE,TRUE
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,Reactome,77,3,0.83,1.887,1.768,-1.644,0.99,0.9224,8.123e-4,0.01025,0.01165,0.661,FALSE,FALSE,TRUE
REACTOME_FATTY_ACID_METABOLISM,Reactome,53,2,2.433,-0.896,-1.353,-1.08,-2.424,7.87e-7,0.749,0.2353,0.474,1.449e-6,FALSE,TRUE,TRUE
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,Reactome,22,2,2.435,-1.249,-1.475,0.56,-2.407,5.899e-6,0.2637,0.1886,0.9907,8.463e-6,TRUE,TRUE,TRUE
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,Reactome,76,2,2.018,-1.303,1.122,1.792,-1.42,7.583e-5,0.1254,0.5003,0.001769,0.08464,TRUE,TRUE,TRUE
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,Reactome,24,2,2.151,0.95,1.398,-0.793,-1.855,1.767e-4,0.6397,0.2661,0.8724,0.01363,TRUE,TRUE,TRUE
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Reactome,16,2,2.138,-1.002,-1.218,0.456,-2.091,4.047e-4,0.5693,0.4615,0.9972,9.392e-4,FALSE,FALSE,FALSE
REACTOME_PROTEIN_LOCALIZATION,Reactome,75,2,1.779,-1.117,0.829,1.314,-1.603,0.002811,0.3491,0.9055,0.1501,0.01838,TRUE,TRUE,TRUE
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,Reactome,43,2,1.88,-1.244,1.341,1.797,-1.548,0.003142,0.2215,0.2838,0.005836,0.05787,FALSE,TRUE,TRUE
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Reactome,97,2,-1.686,1.007,0.813,1.122,1.475,0.00316,0.5584,0.9246,0.3731,0.04845,TRUE,FALSE,TRUE
REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE,Reactome,11,2,1.941,-0.749,-1.344,-0.795,-1.877,0.006147,0.873,0.3642,0.8285,0.007503,FALSE,FALSE,TRUE
REACTOME_GLYCOGEN_METABOLISM,Reactome,17,2,-1.788,1.491,1.676,-0.993,1.731,0.01312,0.09338,0.1122,0.6229,0.04069,TRUE,TRUE,TRUE
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,Reactome,20,2,1.761,-1.195,-1.648,-1.052,-1.793,0.02774,0.3217,0.1211,0.5217,0.01743,TRUE,TRUE,TRUE
REACTOME_PEPTIDE_HORMONE_METABOLISM,Reactome,10,2,1.719,0.744,-1.354,-1.105,-1.883,0.0387,0.873,0.3492,0.4869,0.01449,TRUE,TRUE,TRUE
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,Reactome,70,2,-1.51,1.427,-1.306,-1.824,1.131,0.04692,0.05656,0.2441,0.00162,0.428,FALSE,FALSE,FALSE
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,Reactome,83,2,-1.477,1.959,1.402,-1.293,1.603,0.05261,1.069e-4,0.1524,0.1471,0.01902,FALSE,FALSE,FALSE
