gene,pattern,sort_key,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Reversal
RPL24,Rev. (Age Down),0.6654,-0.6654,0.3759,0.001356,3.9e-5
DCTN3,Rev. (Age Down),0.6533,-0.6533,0.2875,0.044465,0.006685
RPL32,Rev. (Age Down),0.6475,-0.6475,0.5108,0.114716,0.00882
RPS23,Rev. (Age Down),0.6442,-0.6442,0.0823,0.006062,0.03107
CAPZA1,Rev. (Age Down),0.6424,-0.6424,0.1069,0.016263,0.048964
CLIC4,Rev. (Age Down),0.6395,-0.6395,0.2519,0.004268,0.001699
SLC25A11,Rev. (Age Down),0.6384,-0.6384,0.0447,0.002498,0.029833
NEXN,Rev. (Age Down),0.6355,-0.6355,0.2795,0.068115,0.032886
CELF1,Rev. (Age Down),0.6323,-0.6323,0.0687,0.010948,0.04237
COL15A1,Rev. (Age Down),0.629,-0.629,0.314,0.062829,0.020239
PSMD7,Rev. (Age Down),0.6246,-0.6246,0.1785,4.9e-5,8.2e-5
FSD2,Rev. (Age Down),0.6185,-0.6185,0.1311,0.003749,0.008085
SCO1,Rev. (Age Down),0.6182,-0.6182,0.2706,0.025962,0.006299
SPAG9,Rev. (Age Down),0.6145,-0.6145,0.1575,0.010165,0.013285
MARCHF5,Rev. (Age Down),0.6038,-0.6038,0.0949,0.018901,0.043377
FLNA,Rev. (Age Down),0.6033,-0.6033,0.2679,0.021335,0.007889
ARHGAP1,Rev. (Age Down),0.6,-0.6,0.4729,0.006395,1.5e-5
NT5C1A,Rev. (Age Down),0.5908,-0.5908,0.2614,0.060273,0.029256
RPL23A,Rev. (Age Down),0.5826,-0.5826,0.2539,0.00975,0.003208
CSRP1,Rev. (Age Down),0.582,-0.582,0.4247,0.082816,0.007009
EEFSEC,Rev. (Age Down),0.5808,-0.5808,0.3662,0.098276,0.00837
RPL35,Rev. (Age Down),0.5784,-0.5784,0.2435,0.043655,0.02255
TRIM54,Rev. (Age Down),0.5735,-0.5735,0.0864,0.009807,0.038091
BANF1,Rev. (Age Down),0.5693,-0.5693,0.2038,0.035496,0.027421
RPL22,Rev. (Age Down),0.5659,-0.5659,0.3841,0.013035,3.29e-4
UBAP2L,Rev. (Age Down),0.5504,-0.5504,0.4475,0.254805,0.049721
SNTA1,Rev. (Age Down),0.5411,-0.5411,0.0657,0.009827,0.047184
RPL37A,Rev. (Age Down),0.5336,-0.5336,0.4402,0.089182,0.003541
RPL10,Rev. (Age Down),0.5218,-0.5218,0.3539,0.058209,0.005252
CAMK2D,Rev. (Age Down),0.5207,-0.5207,0.5426,0.049375,1.05e-4
ENO2,Rev. (Age Down),0.5051,-0.5051,0.1921,0.023476,0.014888
MIEN1,Rev. (Age Down),0.502,-0.502,0.3171,0.106023,0.009619
TYMP,Rev. (Age Down),0.4989,-0.4989,0.1317,0.037781,0.043413
RPL38,Rev. (Age Down),0.4958,-0.4958,0.1242,0.02867,0.045155
EIF3C,Rev. (Age Down),0.4908,-0.4908,0.163,0.011295,0.010114
PPP1R3A,Rev. (Age Down),0.4903,-0.4903,0.1808,0.011829,0.007653
RPL36AL,Rev. (Age Down),0.4814,-0.4814,0.2502,0.105833,0.039893
CAST,Rev. (Age Down),0.4569,-0.4569,0.1903,0.029046,0.014422
PHKA2,Rev. (Age Down),0.4373,-0.4373,0.3586,0.063436,0.001904
RPS3A,Rev. (Age Down),0.4243,-0.4243,0.2681,0.047927,0.005394
NGLY1,Rev. (Age Down),0.4027,-0.4027,0.2806,0.13717,0.015221
SNRPD3,Rev. (Age Down),0.3977,-0.3977,0.1734,0.057858,0.027748
PHKB,Rev. (Age Down),0.39,-0.39,0.2262,0.074813,0.016495
RPL23,Rev. (Age Down),0.3876,-0.3876,0.2066,0.108035,0.039528
CSRP3,Rev. (Age Down),0.3808,-0.3808,0.509,0.37869,0.016806
DYNLT1,Rev. (Age Down),0.3729,-0.3729,0.2536,0.074624,0.006495
RPS19,Rev. (Age Down),0.3594,-0.3594,0.2204,0.109011,0.024728
RPS15,Rev. (Age Down),0.3491,-0.3491,0.3738,0.215111,0.007904
EEF1G,Rev. (Age Down),0.3233,-0.3233,0.1648,0.039297,0.010425
S100A13,Rev. (Age Down),0.2985,-0.2985,0.6608,0.697889,0.042463
MSN,Rev. (Age Down),0.2843,-0.2843,0.2479,0.255552,0.035915
HPRT1,Rev. (Age Down),0.12,-0.12,0.5572,0.917734,0.044173
