gene,cluster,membership
EPHA2,C1,0.9956069230189194
TKT,C1,0.8027778981267221
EEF1D,C3,0.9970893826361643
MARCKS,C3,0.999189396408942
GNA11,C2,0.764429332339794
ALDH4A1,C2,0.9588199632067419
ERP29,C2,0.8640207165871362
PRDX6,C1,0.9997218238769274
BLVRB,C1,0.9999208629305402
PRDX5,C3,0.7935942743617349
DDT,C1,0.9966719762901636
PRDX3,C2,0.9860595457354165
ATP5F1D,C2,0.9955569715361611
RPL12,C4,0.9912111353612957
ECHS1,C2,0.9999916850963355
CMPK1,C3,0.6920099159552218
PEBP1,C1,0.9955010607649816
PDIA3,C1,0.8954937460851331
PPP2R1A,C3,0.9995213056149357
PPIF,C2,0.9999999719570152
NMT1,C4,0.6292634073715438
ADSS2,C1,0.9725107794388635
LRPAP1,C1,0.9701253424340659
TSPO,C2,0.9703102696234742
ADSL,C1,0.9999265359048782
CLIP1,C3,0.9929624523026759
SRI,C1,0.666032257288219
SERPINB1,C3,0.8069250987680318
ALDH1B1,C3,0.9993049704633477
SDHA,C2,0.9996437317624848
GDI1,C1,0.9813718773661365
MAT2A,C3,0.8663880880345528
CASQ1,C1,0.9295824543179053
DNAJA1,C3,0.9980913069945919
AKT2,C3,0.9966936846882948
UQCRC1,C2,0.9999337410122755
HIBADH,C2,0.9981160511556555
ATIC,C3,0.9851411990786152
HNRNPH3,C4,0.9995718286873653
HNRNPH1,C2,0.5466773699488675
YWHAB,C3,0.9957874383643399
STIP1,C3,0.5816348815227032
S100A11,C3,0.9996724110165148
PRDX2,C1,0.9909098586966434
GBP2,C3,0.9999822266765157
ACSL1,C2,0.9999959269473029
KIF5B,C3,0.5689844235840598
MCM5,C1,0.9317542130535703
SHMT1,C1,0.9988929043467586
SHMT2,C2,0.9999801869876793
HSPA4,C3,0.9989959794708221
MPI,C1,0.9785439574907321
GPC1,C1,0.945123252867611
PFN2,C3,0.9997792257262067
CTNNA1,C2,0.9973817081778886
SERPINB6,C1,0.9716164941130377
RDX,C1,0.9721297867873638
RPA3,C1,0.9976083880736306
RPL22,C4,0.9961655698749597
SPR,C2,0.9894946520577851
THBS4,C3,0.9863460285551319
FBN1,C4,0.9869059107433217
AGL,C1,0.9529628876959421
MYH9,C4,0.5138192224044951
COPB2,C3,0.9890810927913181
ACTN2,C4,0.9999914802396902
ADD1,C2,0.5289330793385278
BSG,C2,0.560510683915079
FUS,C4,0.9884799868675817
DEK,C4,0.9997758656398059
MYH11,C4,0.5184096256792604
GLRX,C1,0.9971209041002136
PPM1A,C3,0.5616799118647902
KRT2,C1,0.5207074318864137
HMGCL,C2,0.9999860511762569
PSMC2,C3,0.9996141282798283
ARL3,C3,0.9792334975255113
MAP2K2,C1,0.8311447719555842
ATP5F1C,C2,0.999944711530499
ATP6V1E1,C1,0.6691664699371093
RPL4,C4,0.9987343005150305
LONP1,C2,0.999996582427994
PGM1,C1,0.9997658732527457
PPP1CC,C4,0.9953488759182939
SERPINF1,C3,0.7036724074142583
DLST,C2,0.999988844889904
GMPR,C1,0.9973025773085942
GPX4,C1,0.8470100095538708
SRP14,C4,0.8516919306669165
TAGLN2,C2,0.755150946773791
TALDO1,C1,0.9924578391400761
SNCA,C1,0.9993930249166916
ETFB,C2,0.9999999747812927
ATP6V1A,C1,0.9876233018490448
HSPA9,C2,0.9986825315182835
RPS19,C4,0.6911754457533732
RPL3,C4,0.6325690223308854
COL15A1,C4,0.9962443538385549
COL18A1,C1,0.5506913321545625
DDOST,C3,0.9864084788181955
ANP32A,C1,0.4533936980842983
CAPG,C3,0.9887634700114599
CAP2,C4,0.9997432636929111
CCT6A,C3,0.9914316143143587
RPL13A,C4,0.9990534900353248
STAT3,C1,0.9396871176924351
MDH1,C1,0.6160052460141345
MDH2,C2,0.9999982790239642
HADHA,C2,0.9998649713288653
EIF2S3,C3,0.9999170037986251
NAA10,C3,0.9592804604282672
PPP1R2,C1,0.9835984002074121
GARS1,C4,0.5219793144119511
IARS1,C3,0.7159161423914591
EIF1,C4,0.9494525644355226
ECI1,C2,0.9999839308724616
TMPO,C1,0.6423328159255968
AKR1C3,C3,0.9999720564157123
RPS27,C3,0.9044044909255452
LRPPRC,C2,0.9997133623120864
ACAA2,C2,0.9999992255878757
RPL35,C4,0.9972274036844311
SLC1A4,C1,0.9972572434871845
PAFAH1B1,C3,0.9597949353197233
