gene,pathway,database,cluster
SEPTIN2,GOBP_CELL_DIVISION,GO:BP,C3
EEA1,Unmapped,NA,C3
PEA15,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
PLEC,GOBP_CELL_DIVISION,GO:BP,C3
PPA1,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
PCBP1,Unmapped,NA,C3
RSU1,Unmapped,NA,C3
PPP1R7,Unmapped,NA,C3
SEC23A,GOBP_VESICLE_BUDDING_FROM_MEMBRANE,GO:BP,C3
MAPRE1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
TBCE,Unmapped,NA,C3
RAB11B,Unmapped,NA,C3
ZYX,Unmapped,NA,C3
HSPB2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
SEPTIN7,GOBP_CELL_DIVISION,GO:BP,C3
DDB1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
DPYSL2,Unmapped,NA,C3
FSCN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
UGP2,Unmapped,NA,C3
KLHL40,Unmapped,NA,C3
TKFC,Unmapped,NA,C3
FAM98B,Unmapped,NA,C3
PDLIM3,Unmapped,NA,C3
CAVIN4,Unmapped,NA,C3
RABL3,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
DCAF8,Unmapped,NA,C3
ECPAS,Unmapped,NA,C3
RNF123,Unmapped,NA,C3
TMEM198,Unmapped,NA,C3
NXN,Unmapped,NA,C3
PTRHD1,Unmapped,NA,C3
LAMTOR1,Unmapped,NA,C3
DHRS7B,Unmapped,NA,C3
TRIM72,Unmapped,NA,C3
COPS6,Unmapped,NA,C3
COMMD6,Unmapped,NA,C3
PRUNE1,Unmapped,NA,C3
MTDH,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
KTN1,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
NRAP,Unmapped,NA,C3
CAND1,Unmapped,NA,C3
NDUFA11,Unmapped,NA,C3
PHYKPL,Unmapped,NA,C3
MUSTN1,Unmapped,NA,C3
UNC45B,Unmapped,NA,C3
KLHDC8B,GOBP_CELL_DIVISION,GO:BP,C3
PM20D2,Unmapped,NA,C3
LRRC47,Unmapped,NA,C3
EHBP1L1,Unmapped,NA,C3
TXLNB,Unmapped,NA,C3
MMGT1,Unmapped,NA,C3
EMC1,Unmapped,NA,C3
NHLRC2,Unmapped,NA,C3
TXNDC5,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
ADPRHL1,Unmapped,NA,C3
ABCF1,Unmapped,NA,C3
NEK9,GOBP_CELL_DIVISION,GO:BP,C3
SETD7,Unmapped,NA,C3
THEM6,Unmapped,NA,C3
DNAJA4,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C3
SYNE2,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
GCN1,Unmapped,NA,C3
ARPC1A,Unmapped,NA,C3
UFD1,Unmapped,NA,C3
COPS5,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
KHSRP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C3
TNPO1,Unmapped,NA,C3
USP9X,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
ERGIC1,Unmapped,NA,C3
FERMT2,Unmapped,NA,C3
FUBP1,Unmapped,NA,C3
PBXIP1,Unmapped,NA,C3
GALM,Unmapped,NA,C3
PPP1R14B,Unmapped,NA,C3
AP2M1,GOBP_VESICLE_BUDDING_FROM_MEMBRANE,GO:BP,C3
MMAB,Unmapped,NA,C3
S100A16,Unmapped,NA,C3
PDXP,GOBP_CELL_DIVISION,GO:BP,C3
SNF8,Unmapped,NA,C3
ERO1A,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
AHCYL2,Unmapped,NA,C3
DDRGK1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
ALPK3,Unmapped,NA,C3
JSRP1,Unmapped,NA,C3
VPS13A,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
TBCB,Unmapped,NA,C3
PFDN5,Unmapped,NA,C3
VAT1,Unmapped,NA,C3
S100A13,Unmapped,NA,C3
EIF3C,Unmapped,NA,C3
SDHC,Unmapped,NA,C3
NAP1L4,Unmapped,NA,C3
MGST2,Unmapped,NA,C3
CCT7,GOBP_PROTEIN_STABILIZATION,GO:BP,C3
APOL2,Unmapped,NA,C3
VPS25,Unmapped,NA,C3
ERP44,Unmapped,NA,C3
ESYT1,Unmapped,NA,C3
DCTN5,Unmapped,NA,C3
TMEM43,Unmapped,NA,C3
TUBB6,Unmapped,NA,C3
TMEM109,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
TPPP3,Unmapped,NA,C3
FUNDC2,Unmapped,NA,C3
OSBPL11,Unmapped,NA,C3
