gene,pathway,database,cluster
PDK2,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
ADIPOQ,HALLMARK_ADIPOGENESIS,Hallmark,C3
ETFDH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
FXN,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
DECR1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NDUFA5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
CLPP,Unmapped,NA,C3
TST,HALLMARK_ADIPOGENESIS,Hallmark,C3
KYAT1,Unmapped,NA,C3
NDUFA9,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
PPP1R3A,Unmapped,NA,C3
HADH,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
IMMT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
IAH1,Unmapped,NA,C3
TIMM50,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
NADK2,Unmapped,NA,C3
HSD17B12,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
AGK,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
LACTB2,Unmapped,NA,C3
COQ5,HALLMARK_ADIPOGENESIS,Hallmark,C3
PITRM1,Unmapped,NA,C3
COA6,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
TTC38,Unmapped,NA,C3
C6orf136,Unmapped,NA,C3
IBA57,Unmapped,NA,C3
LYRM7,Unmapped,NA,C3
LYPLAL1,Unmapped,NA,C3
MICOS13,GOCC_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,GO:CC,C3
ETFRF1,Unmapped,NA,C3
HIBCH,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
MRPL54,Unmapped,NA,C3
TATDN1,Unmapped,NA,C3
FAHD1,Unmapped,NA,C3
SLC27A1,HALLMARK_ADIPOGENESIS,Hallmark,C3
APOOL,GOCC_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,GO:CC,C3
