PC1,PC2,gene,cluster,membership
-0.015093294866426295,0.02703074914362754,MPC2,C3,0.9994309366905358
-0.010318465790658291,0.03234979444983682,ETHE1,C3,0.9999857941995666
-0.011374865728247311,6.586166984127296e-4,ACSL3,C1,0.9942432483497383
0.019513806757390575,-0.012111741721190485,ASMTL,C2,0.8900728127901699
-0.0017839327468635745,-0.015887282517960625,CDS2,C1,0.9710032530205415
-0.026026421944875002,8.982763196845435e-4,SNAP29,C1,0.7370536951380606
-0.0027948115477186776,0.0024109764244638165,OXSR1,C4,0.9987812929474933
0.014079600865767697,0.011501786318319893,LSM8,C2,0.8166343172762676
-0.023673136724020816,-0.00905042940163945,AP2A1,C1,0.9997826085909803
0.0018055267935807862,0.014779003381032538,CAVIN2,C3,0.5313996938387084
-0.017426130498963317,-0.002417692126969813,BAG2,C4,0.6859029102479716
0.013119561841146403,-0.024613303533735104,BAG3,C2,0.9657425987482643
0.010987933792587393,0.06153856791067025,MLYCD,C3,0.9999943372570081
-8.512997691491879e-4,0.021594033188008618,AIFM1,C3,0.9999967758977812
-0.005125119960154843,-0.006020592021316537,EML2,C4,0.8097022130642938
0.009850241601660563,-0.004080064159271365,BPNT1,C4,0.7997249066947884
-0.01653086938034762,-0.01920709901733757,DDAH2,C1,0.9996698124429962
-0.01884365984138895,0.007507135985500422,ABHD16A,C1,0.8748562753248021
-0.05924835232474679,-0.017307588770607275,TXNDC12,C1,0.955728604743462
-0.007112236217103873,0.005147474434308093,NUDT3,NA,0
0.006764580256272474,0.03799071032289636,NDUFB10,C3,0.9995145155158479
-0.03362407436533782,9.144914531863233e-4,CLPTM1,C1,0.9998597684529137
-0.0032966743013532395,0.0051755183116746675,MOCS2,C4,0.9917079988792333
0.008755660951305755,0.025404837482334203,TOMM40,C3,0.9693495434026737
-0.0033342633262045734,0.008072007185748633,PEX11B,C1,0.6161790378512383
-0.010957247634131528,0.00562014099056101,CYB5A,C4,0.9021713544024721
-3.856836932856532e-4,-0.01195294014846009,ADH1B,C4,0.9939509392626817
-0.00800705274311515,-0.015730693368756373,LDHA,C4,0.8641519002397006
0.007404390960071887,0.008853852278289075,ALDH1A1,C4,0.7385060240559639
-0.007112868705924849,0.022237444045535067,GLUD1,C3,0.9978736236439494
-0.007149360252737099,-0.01963583891590642,CYB5R3,C1,0.9999594085875294
-0.008408989235469316,-0.006752773036007869,GSR,C1,0.9673687075585912
0.03415120844473406,0.03697436122217795,MT-CO1,C2,0.6242679991206029
0.0033515318955130114,0.031149684240586516,MT-CO2,C3,0.9987590821250265
0.02642966054558698,0.035593817627066524,MT-CO3,C3,0.8389817901765689
-0.002015340757395037,-0.01888374175592621,SOD1,C4,0.9990886275887243
-0.017077670884530886,-0.018158352910488028,CP,C4,0.9930169604954979
-0.021247640129578953,-0.027867933080889657,F13A1,C1,0.9978377521730125
-0.017086136384366755,-0.01718207989871924,HPRT1,C1,0.9475512545316118
-0.00378890379411212,0.03730376166040588,GOT2,C3,0.9999999043704858
-0.003216094881107284,-0.011183453250399792,PGK1,C4,0.9997572031219928
-0.009742927055351522,-0.02053965702728997,AK1,C4,0.9623769444027913
-0.018846489770153477,-0.052728564184117276,HP,C4,0.9994382489234511
-0.015597008392019865,-0.005004158566914436,CFB,C4,0.9944671382336862
-0.007023023311639952,0.007863797684135969,MT-ATP6,C1,0.6559157146551602
0.005772775267971893,-0.002467766552071681,CA2,C4,0.997926771376787
0.009200078537923173,0.02400691592872604,ASS1,C3,0.8189993257527367
-0.015255529289773091,-0.025982637916899688,SERPINA1,C4,0.951167460711552
-0.015819531526731608,-0.024265863986049678,SERPINA3,C4,0.9942234816378768
-0.014081041952177862,0.017583783084622596,AGT,C4,0.735499802349891
-0.019489657273790945,-0.022279184511897906,A2M,C4,0.9392700919299537
-0.019097485026797367,-0.02908535584010622,C3,C4,0.9933984411110296
-0.002003695681742942,-0.023185252028142898,CST3,C1,0.5009884886865468
-0.005953434260634,0.02647061895055084,CSTA,C4,0.8844591864466983
-0.05258801091434455,0.002478411078334587,JCHAIN,C4,0.7621212956954201
-0.015212549199349404,-0.015357744719655427,IGKV3-20,C4,0.9696710237836931
-0.01552122661919158,-0.037674425972821876,IGHV3-7,C4,0.9864047490042723
-0.00205130695932182,-0.03786312129037906,IGKC,C4,0.9986269214133082
-0.015146963619684208,-0.03653343351736118,IGHG1,C4,0.9943292085405564
-0.012189556358257499,-0.02891683562792263,IGHG2,C4,0.9650639677756989
-0.016883719072737856,-0.02083871814322229,IGHG3,C4,0.5121602827419407
-0.017364124308758794,-0.024106724139830355,IGHM,C4,0.9683045649398059
-0.014863980829000891,-0.023454123920886014,IGHA1,C4,0.9577512080999141
