set_name,cluster_id,representative_term,cluster_label,n_member_terms,n_genes,member_terms_list
SP_359_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT,359,WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT,NEURAL CREST CELL MIGRATION DURING DEVELOPMENT,2,46,REACTOME_ACTIVATION_OF_RAC1; WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT
SP_360_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANS,360,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS,TRANSCRIPTIONAL REGULATION BY THE AP 2 TFAP2 FAMILY OF TRANSCRIPTION FACTORS,4,38,REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS; REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS; REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS; REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS
SP_361_CELL_CELL_COMMUNICATION,361,REACTOME_CELL_CELL_COMMUNICATION,CELL CELL COMMUNICATION,6,155,REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS; REACTOME_CELL_CELL_COMMUNICATION; REACTOME_CELL_CELL_JUNCTION_ORGANIZATION; REACTOME_CELL_JUNCTION_ORGANIZATION; REACTOME_REGULATION_OF_CDH11_FUNCTION; REACTOME_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION
SP_362_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,362,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,REGULATION OF LIPID METABOLISM BY PPARALPHA,4,233,REACTOME_ADIPOGENESIS; REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA; REACTOME_RSV_HOST_INTERACTIONS; REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION
SP_363_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,363,REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,ADVANCED GLYCOSYLATION ENDPRODUCT RECEPTOR SIGNALING,1,13,REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING
SP_364_AUTOPHAGY,364,REACTOME_AUTOPHAGY,AUTOPHAGY,5,159,REACTOME_AGGREPHAGY; REACTOME_AUTOPHAGY; REACTOME_MITOPHAGY; REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY; REACTOME_SELECTIVE_AUTOPHAGY
SP_365_ALK_MUTANTS_BIND_TKIS,365,REACTOME_ALK_MUTANTS_BIND_TKIS,ALK MUTANTS BIND TKIS,1,12,REACTOME_ALK_MUTANTS_BIND_TKIS
SP_366_ALPHA_DEFENSINS,366,REACTOME_ALPHA_DEFENSINS,ALPHA DEFENSINS,1,10,REACTOME_ALPHA_DEFENSINS
SP_367_AMINE_LIGAND_BINDING_RECEPTORS,367,REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,AMINE LIGAND BINDING RECEPTORS,3,42,REACTOME_AMINE_LIGAND_BINDING_RECEPTORS; REACTOME_SEROTONIN_RECEPTORS; WP_MONOAMINE_GPCRS
SP_368_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,368,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,SLC MEDIATED TRANSMEMBRANE TRANSPORT,3,248,REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE; REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT; REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES
SP_369_IRON_UPTAKE_AND_TRANSPORT,369,REACTOME_IRON_UPTAKE_AND_TRANSPORT,IRON UPTAKE AND TRANSPORT,7,158,REACTOME_AMINO_ACIDS_REGULATE_MTORC1; REACTOME_INSULIN_RECEPTOR_RECYCLING; REACTOME_IRON_UPTAKE_AND_TRANSPORT; REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY; REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES; REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING; WP_PROXIMAL_TUBULE_TRANSPORT
SP_370_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,370,REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,ORGANELLE BIOGENESIS AND MAINTENANCE,8,407,REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE; REACTOME_AURKA_ACTIVATION_BY_TPX2; REACTOME_CILIUM_ASSEMBLY; REACTOME_MITOTIC_G2_G2_M_PHASES; REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE; REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES; REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES; REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION
SP_371_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,371,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,CELL SURFACE INTERACTIONS AT THE VASCULAR WALL,20,689,REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS; REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS; REACTOME_CD22_MEDIATED_BCR_REGULATION; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_COMPLEMENT_CASCADE; REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS; REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING; REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION; REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION; REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION
SP_372_ANTIMICROBIAL_PEPTIDES,372,REACTOME_ANTIMICROBIAL_PEPTIDES,ANTIMICROBIAL PEPTIDES,3,98,REACTOME_ANTIMICROBIAL_PEPTIDES; REACTOME_BETA_DEFENSINS; REACTOME_DEFENSINS
SP_373_APOPTOTIC_EXECUTION_PHASE,373,REACTOME_APOPTOTIC_EXECUTION_PHASE,APOPTOTIC EXECUTION PHASE,4,52,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS; REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS; REACTOME_APOPTOTIC_EXECUTION_PHASE; REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS
SP_374_ASPARAGINE_N_LINKED_GLYCOSYLATION,374,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,ASPARAGINE N LINKED GLYCOSYLATION,6,312,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION; REACTOME_CARGO_CONCENTRATION_IN_THE_ER; REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT; REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT; REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT; REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION
SP_375_ASPARTATE_AND_ASPARAGINE_METABOLISM,375,REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,ASPARTATE AND ASPARAGINE METABOLISM,1,11,REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM
SP_376_PLASMA_LIPOPROTEIN_REMODELING,376,REACTOME_PLASMA_LIPOPROTEIN_REMODELING,PLASMA LIPOPROTEIN REMODELING,13,70,REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES; REACTOME_CHYLOMICRON_ASSEMBLY; REACTOME_CHYLOMICRON_REMODELING; REACTOME_HDL_REMODELING; REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY; REACTOME_PLASMA_LIPOPROTEIN_REMODELING; WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1; WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2; WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3; WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4
SP_377_NUCLEAR_RNA_DECAY,377,REACTOME_NUCLEAR_RNA_DECAY,NUCLEAR RNA DECAY,7,74,REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS; REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA; REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA; REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE; REACTOME_NUCLEAR_RNA_DECAY; REACTOME_PERK_REGULATES_GENE_EXPRESSION; REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA
SP_378_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE,378,WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE,PHOTODYNAMIC THERAPYINDUCED UNFOLDED PROTEIN RESPONSE,4,43,REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES; REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES; WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE; WP_UNFOLDED_PROTEIN_RESPONSE
SP_379_CELLULAR_RESPONSE_TO_HEAT_STRESS,379,REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,CELLULAR RESPONSE TO HEAT STRESS,5,101,REACTOME_ATTENUATION_PHASE; REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS; REACTOME_HSF1_ACTIVATION; REACTOME_HSF1_DEPENDENT_TRANSACTIVATION; REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE
SP_380_AZATHIOPRINE_ADME,380,REACTOME_AZATHIOPRINE_ADME,AZATHIOPRINE ADME,2,29,REACTOME_AZATHIOPRINE_ADME; REACTOME_RIBAVIRIN_ADME
SP_381_BASIGIN_INTERACTIONS,381,REACTOME_BASIGIN_INTERACTIONS,BASIGIN INTERACTIONS,1,25,REACTOME_BASIGIN_INTERACTIONS
SP_382_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,382,REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,CARGO TRAFFICKING TO THE PERICILIARY MEMBRANE,3,51,REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM; REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE; REACTOME_VXPX_CARGO_TARGETING_TO_CILIUM
SP_383_BICARBONATE_TRANSPORTERS,383,REACTOME_BICARBONATE_TRANSPORTERS,BICARBONATE TRANSPORTERS,1,10,REACTOME_BICARBONATE_TRANSPORTERS
SP_384_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED,384,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,BIOSYNTHESIS OF THE N GLYCAN PRECURSOR DOLICHOL LIPID LINKED OLIGOSACCHARIDE LLO AND TRANSFER TO A NASCENT PROTEIN,3,80,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN; REACTOME_SIALIC_ACID_METABOLISM; REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS
SP_385_BIOTIN_TRANSPORT_AND_METABOLISM,385,REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,BIOTIN TRANSPORT AND METABOLISM,1,11,REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM
SP_386_MITOCHONDRIAL_BIOGENESIS,386,REACTOME_MITOCHONDRIAL_BIOGENESIS,MITOCHONDRIAL BIOGENESIS,6,133,REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION; REACTOME_EXPRESSION_OF_BMAL_ARNTL_CLOCK_AND_NPAS2; REACTOME_HEME_SIGNALING; REACTOME_MITOCHONDRIAL_BIOGENESIS; REACTOME_RORA_B_C_AND_NR1D1_REV_ERBA_REGULATE_GENE_EXPRESSION; REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS
SP_387_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,387,REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,BUTYROPHILIN BTN FAMILY INTERACTIONS,1,12,REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS
SP_388_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,388,WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,MYOMETRIAL RELAXATION AND CONTRACTION PATHWAYS,7,282,REACTOME_CA_DEPENDENT_EVENTS; REACTOME_DAG_AND_IP3_SIGNALING; REACTOME_G_PROTEIN_MEDIATED_EVENTS; REACTOME_OPIOID_SIGNALLING; WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS; WP_G_PROTEIN_SIGNALING; WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS
SP_389_CALCITONIN_LIKE_LIGAND_RECEPTORS,389,REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS,CALCITONIN LIKE LIGAND RECEPTORS,1,10,REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS
SP_390_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,390,REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,N GLYCAN TRIMMING IN THE ER AND CALNEXIN CALRETICULIN CYCLE,3,35,REACTOME_CALNEXIN_CALRETICULIN_CYCLE; REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC; REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE
SP_391_MUSCLE_CONTRACTION,391,REACTOME_MUSCLE_CONTRACTION,MUSCLE CONTRACTION,4,230,REACTOME_CARDIAC_CONDUCTION; REACTOME_ION_HOMEOSTASIS; REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES; REACTOME_MUSCLE_CONTRACTION
SP_392_HEART_DEVELOPMENT,392,WP_HEART_DEVELOPMENT,HEART DEVELOPMENT,2,57,REACTOME_CARDIOGENESIS; WP_HEART_DEVELOPMENT
SP_393_CLATHRIN_MEDIATED_ENDOCYTOSIS,393,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,CLATHRIN MEDIATED ENDOCYTOSIS,2,145,REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS; REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS
SP_394_CARNITINE_SHUTTLE,394,REACTOME_CARNITINE_SHUTTLE,CARNITINE SHUTTLE,1,14,REACTOME_CARNITINE_SHUTTLE
SP_395_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_O,395,REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,CASPASE ACTIVATION VIA DEPENDENCE RECEPTORS IN THE ABSENCE OF LIGAND,1,10,REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND
SP_396_CD209_DC_SIGN_SIGNALING,396,REACTOME_CD209_DC_SIGN_SIGNALING,CD209 DC SIGN SIGNALING,1,21,REACTOME_CD209_DC_SIGN_SIGNALING
SP_397_M_PHASE,397,REACTOME_M_PHASE,M PHASE,9,634,REACTOME_CELL_CYCLE_CHECKPOINTS; REACTOME_M_PHASE; REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE; REACTOME_MITOTIC_PROMETAPHASE; REACTOME_MITOTIC_SPINDLE_CHECKPOINT; REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION; REACTOME_RHO_GTPASE_EFFECTORS; REACTOME_RHO_GTPASES_ACTIVATE_FORMINS; REACTOME_SEPARATION_OF_SISTER_CHROMATIDS
SP_398_DEATH_RECEPTOR_SIGNALING,398,REACTOME_DEATH_RECEPTOR_SIGNALING,DEATH RECEPTOR SIGNALING,5,182,REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE; REACTOME_DEATH_RECEPTOR_SIGNALING; REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS; REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK; REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING
SP_399_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,399,REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,CELL EXTRACELLULAR MATRIX INTERACTIONS,1,18,REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS
SP_400_CELLULAR_HEXOSE_TRANSPORT,400,REACTOME_CELLULAR_HEXOSE_TRANSPORT,CELLULAR HEXOSE TRANSPORT,1,21,REACTOME_CELLULAR_HEXOSE_TRANSPORT
SP_401_PLATELET_HOMEOSTASIS,401,REACTOME_PLATELET_HOMEOSTASIS,PLATELET HOMEOSTASIS,3,86,REACTOME_CGMP_EFFECTS; REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE; REACTOME_PLATELET_HOMEOSTASIS
SP_402_LATE_ENDOSOMAL_MICROAUTOPHAGY,402,REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,LATE ENDOSOMAL MICROAUTOPHAGY,3,49,REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY; REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT; REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY
SP_403_G_ALPHA_S_SIGNALLING_EVENTS,403,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,G ALPHA S SIGNALLING EVENTS,2,200,REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS; REACTOME_G_ALPHA_S_SIGNALLING_EVENTS
SP_404_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,404,REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,CLASS I PEROXISOMAL MEMBRANE PROTEIN IMPORT,1,20,REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT
SP_405_PATHWAYS_INTO_METHIONINE_AND_FOLATE_CYCLES,405,WP_PATHWAYS_INTO_METHIONINE_AND_FOLATE_CYCLES,PATHWAYS INTO METHIONINE AND FOLATE CYCLES,6,59,REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM; REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM; REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM; REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES; WP_PATHWAYS_INTO_METHIONINE_AND_FOLATE_CYCLES; WP_VITAMIN_B12_DISORDERS
SP_406_MITOTIC_TELOPHASE_CYTOKINESIS,406,REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS,MITOTIC TELOPHASE CYTOKINESIS,3,16,REACTOME_COHESIN_LOADING_ONTO_CHROMATIN; REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION; REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS
SP_407_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,407,REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,CONDENSATION OF PROMETAPHASE CHROMOSOMES,1,11,REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES
SP_408_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,408,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,INTRA GOLGI AND RETROGRADE GOLGI TO ER TRAFFIC,6,371,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC; REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION; REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT; REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC; REACTOME_KINESINS; REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION
SP_409_CREATINE_METABOLISM,409,REACTOME_CREATINE_METABOLISM,CREATINE METABOLISM,1,11,REACTOME_CREATINE_METABOLISM
SP_410_CRISTAE_FORMATION,410,REACTOME_CRISTAE_FORMATION,CRISTAE FORMATION,2,33,REACTOME_CRISTAE_FORMATION; REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING
SP_411_SEMAPHORIN_INTERACTIONS,411,REACTOME_SEMAPHORIN_INTERACTIONS,SEMAPHORIN INTERACTIONS,5,64,REACTOME_CRMPS_IN_SEMA3A_SIGNALING; REACTOME_OTHER_SEMAPHORIN_INTERACTIONS; REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION; REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION; REACTOME_SEMAPHORIN_INTERACTIONS
SP_412_CS_DS_DEGRADATION,412,REACTOME_CS_DS_DEGRADATION,CS DS DEGRADATION,2,18,REACTOME_CS_DS_DEGRADATION; REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS
SP_413_ESTROGEN_METABOLISM_WP5276,413,WP_ESTROGEN_METABOLISM_WP5276,ESTROGEN METABOLISM WP5276,4,46,REACTOME_CYP2E1_REACTIONS; REACTOME_XENOBIOTICS; WP_ESTROGEN_METABOLISM_WP5276; WP_TAMOXIFEN_METABOLISM
SP_414_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,414,REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,PHASE I FUNCTIONALIZATION OF COMPOUNDS,5,126,REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE; REACTOME_ENDOGENOUS_STEROLS; REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES; REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS; WP_OXIDATION_BY_CYTOCHROME_P450
SP_415_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY,415,REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY,CYTOSOLIC IRON SULFUR CLUSTER ASSEMBLY,1,13,REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY
SP_416_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_F,416,REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS,M DECAY DEGRADATION OF MATERNAL MRNAS BY MATERNALLY STORED FACTORS,3,40,REACTOME_DEADENYLATION_OF_MRNA; REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS; REACTOME_Z_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_ZYGOTICALLY_EXPRESSED_FACTORS
SP_417_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS,417,REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS,DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS,1,25,REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS
SP_418_SULFUR_AMINO_ACID_METABOLISM,418,REACTOME_SULFUR_AMINO_ACID_METABOLISM,SULFUR AMINO ACID METABOLISM,5,35,REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE; REACTOME_SULFUR_AMINO_ACID_METABOLISM; WP_CYSTEINE_AND_METHIONINE_CATABOLISM; WP_METHIONINE_METABOLISM_LEADING_TO_SULFUR_AMINO_ACIDS_AND_RELATED_DISORDERS; WP_TRANSSULFURATION_PATHWAY
SP_419_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,419,REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,INITIATION OF NUCLEAR ENVELOPE NE REFORMATION,2,26,REACTOME_DEPOLYMERIZATION_OF_THE_NUCLEAR_LAMINA; REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION
SP_420_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,420,REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,DETOXIFICATION OF REACTIVE OXYGEN SPECIES,2,57,REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES; WP_OXIDATIVE_STRESS_RESPONSE
SP_421_DEUBIQUITINATION,421,REACTOME_DEUBIQUITINATION,DEUBIQUITINATION,2,285,REACTOME_DEUBIQUITINATION; REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES
SP_422_DEVELOPMENTAL_CELL_LINEAGES,422,REACTOME_DEVELOPMENTAL_CELL_LINEAGES,DEVELOPMENTAL CELL LINEAGES,5,121,REACTOME_DEVELOPMENTAL_CELL_LINEAGES; REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS; REACTOME_DEVELOPMENTAL_LINEAGE_OF_MULTIPOTENT_PANCREATIC_PROGENITOR_CELLS; REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS; REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS
SP_423_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMI,423,REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN,DIFFERENTIATION OF KERATINOCYTES IN INTERFOLLICULAR EPIDERMIS IN MAMMALIAN SKIN,1,40,REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN
