gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
DMD,-0.1441,1.0644,0.702545,0.615081,NS
PKM,0.1435,1.0682,0.702553,0.614901,NS
TIMM9,0.1712,0.8928,0.703316,0.683065,NS
GLUD1,0.161,0.9477,0.70372,0.660354,NS
EIF3C,0.1629,0.9326,0.704777,0.661154,NS
MRPS36,-0.2184,0.6947,0.705146,0.756765,NS
MRPS18B,0.1711,0.8848,0.705742,0.683065,NS
ACSF2,-0.181,0.8336,0.706572,0.69598,NS
AP2B1,0.1732,0.8666,0.707764,0.683065,NS
COL3A1,0.3484,0.4285,0.709089,0.870328,NS
U2AF2,0.176,0.8449,0.710043,0.69598,NS
RGS12,-0.221,0.6706,0.710877,0.766587,NS
ALDH1L1,-0.1787,0.829,0.710987,0.697215,NS
GNA11,-0.2108,0.697,0.71291,0.756765,NS
SPTBN1,0.1579,0.9284,0.71354,0.661154,NS
TIGAR,-0.2499,0.5857,0.713915,0.829165,NS
GARS1,-0.1712,0.8549,0.713944,0.687785,NS
EIF2B3,0.1941,0.7539,0.714006,0.729744,NS
MTIF2,0.1433,1.0182,0.71471,0.635411,NS
FNTA,0.1477,0.9841,0.715571,0.64815,NS
MYL6,0.2612,0.5551,0.716141,0.835626,NS
TST,-0.1727,0.8358,0.717236,0.69598,NS
KPNA6,0.1485,0.9698,0.717757,0.654574,NS
KPNA1,0.1545,0.9304,0.718183,0.661154,NS
NLN,0.1958,0.7339,0.718332,0.744012,NS
PA2G4,0.1468,0.9779,0.718558,0.651779,NS
DAZAP1,0.356,0.4009,0.719912,0.878045,NS
CAPNS1,0.1064,1.3347,0.721182,0.531561,NS
CDH13,-0.165,0.8588,0.721677,0.684804,NS
TPM1,0.3024,0.468,0.721924,0.858886,NS
PPP1CB,0.1919,0.7371,0.721981,0.744012,NS
BANF1,0.2038,0.694,0.722034,0.756765,NS
SRSF3,0.2275,0.6211,0.722292,0.800231,NS
PLS3,0.1795,0.7869,0.722402,0.719723,NS
TMEM70,0.2298,0.6137,0.722725,0.802248,NS
TNNT3,0.2925,0.4811,0.723215,0.854303,NS
