pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_NEURAL_TUBE_DEVELOPMENT,0.8624100507503135,-0.8936124388937857,13,MARCKS;PFN1;MTHFD1,GO:BP,0.6061742006615215,-0.31602081071164356,0.023433907196705916,Interaction
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION,0.8659587708963216,-0.8860986290049843,15,HRC;ATP1A2;FLNA;ATP1A1;CASQ2,GO:BP,0.6092493297587132,-0.3019125775884823,0.023563921969872396,Interaction
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.8702715007600258,-0.8883235113231193,13,MTHFD1;GLUD1;ASS1;PARK7;ATP2B4,GO:BP,0.6134509371554575,-0.31415041242047137,0.023241420454285077,Interaction
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.8702715007600258,0.9022767755716091,28,CTSG;ACTB;CAV1;CD81;FLOT2;HMGB1,GO:BP,0.6130106961248466,0.27385068258254736,0.019680343616885466,Interaction
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS,0.8703898219146284,-0.9054726718004829,31,USP9X;USP5;CTSZ;PSMF1;HSP90AB1;BAG6;EIF3H;PARK7,GO:BP,0.6146549679867204,-0.2525091620437591,0.02439314902879975,Interaction
GOBP_VIRAL_RELEASE_FROM_HOST_CELL,0.8703898219146284,-0.8900750797136646,18,TSG101;DDB1;ARL8B;PPIA;VPS4A;CHMP2A;CHMP4B;VAPA,GO:BP,0.6147018661811561,-0.2869342931193087,0.02371936279329267,Interaction
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.8725515167486169,-0.9004107187246142,24,YWHAG;TFRC;PRKCQ;ANXA1;CD47;PRKAA1;IL18;STAT5B,GO:BP,0.6168137482582443,-0.2687192758329589,0.023993103399035053,Interaction
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,0.8732294955958119,0.8728417029348492,11,SYNJ2BP;HMGB1;DCN,GO:BP,0.6184643510054845,0.33742963643768425,0.020179395783589592,Interaction
GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,0.8732294955958119,-0.8807143691900647,15,CLPTM1;PRKDC;ANXA1;IL18;STAT5B,GO:BP,0.6184092940125112,-0.30007804618766765,0.023322714524108865,Interaction
GOBP_EMBRYO_IMPLANTATION,0.8752463370748008,0.8794719164502092,13,H3-3A;HSPG2;BSG;C1QBP;AGO2,GO:BP,0.6228278763490032,0.32508413102851763,0.020080629990166066,Interaction
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE,0.8752463370748008,0.8844507208626162,14,ENO2;ENO3;PGAM1;PGAM2;PKM;TPI1,GO:BP,0.6215772179627601,0.3207909097210655,0.020080629990166066,Interaction
