"gene","cv_pre","cv_post","delta_cv","age"
"NDUFA1",44.2587810066827,64.5159370609313,20.2571560542485,"Young"
"SURF4",28.9658120602332,28.9656903518005,-0.000121708432704537,"Young"
"TCAP",54.6897667760576,80.9783242034478,26.2885574273902,"Young"
"PMM2",39.0729554435346,34.9445269166286,-4.128428526906,"Young"
"EIF3D",17.7936729017482,21.5304027206146,3.73672981886648,"Young"
"EIF3H",34.551016497637,30.4151953999209,-4.13582109771617,"Young"
"BCAT2",29.1088584663271,22.0117815452363,-7.09707692109077,"Young"
"STX7",20.5152626071092,38.3204243146504,17.8051617075412,"Young"
"SLC16A3",39.9040947024986,46.7691598867955,6.86506518429694,"Young"
"YKT6",12.0080559399109,17.4394358633109,5.4313799234,"Young"
"ARPC5",27.4910909492694,20.2338554490159,-7.25723550025354,"Young"
"TAPBP",45.8469107954776,10.3576398954834,-35.4892708999942,"Young"
"DHX15",15.9762856703561,19.0565742239372,3.08028855358112,"Young"
"CYB5B",42.2632502922923,18.9726643576684,-23.2905859346239,"Young"
"NDUFS4",23.6801236706206,37.7271760706442,14.0470524000236,"Young"
"DYNC1LI2",27.9234771498453,22.1384611814764,-5.78501596836893,"Young"
"PSMD3",20.1879659146761,12.684944422501,-7.50302149217515,"Young"
"RASA4",43.2577191642798,16.3383481063228,-26.9193710579569,"Young"
"HNRNPR",21.6218814918344,16.9592172044429,-4.66266428739145,"Young"
"TXNL1",16.3911425856248,11.607889238475,-4.78325334714985,"Young"
"TPD52L2",14.7574518286522,13.6076418184051,-1.14981001024714,"Young"
"ERI3",29.4211221455811,29.4963651503932,0.0752430048121049,"Young"
"AKR7A2",20.718101485953,16.248263328467,-4.46983815748604,"Young"
"LAT",34.5006604735028,32.5500022548441,-1.95065821865865,"Young"
"DENR",18.072777043768,17.5464287734489,-0.526348270319151,"Young"
"DNPH1",27.2869505077267,32.2081091729195,4.92115866519278,"Young"
"TIMM44",24.4228975522187,16.4740924232891,-7.9488051289296,"Young"
"TRAPPC3",19.9318229127409,20.9379229844559,1.00610007171495,"Young"
"CHMP2A",17.490120762563,15.9996787217676,-1.49044204079537,"Young"
"NDUFB5",16.3610255118815,43.2349827519309,26.8739572400494,"Young"
"NDUFB3",26.1243019147125,40.2128205499188,14.0885186352063,"Young"
"NDUFA2",22.8012823093588,34.2020624172202,11.4007801078613,"Young"
"BUB3",10.5024092990042,36.3037614181007,25.8013521190965,"Young"
"ACTN4",66.5797122244936,99.2770979091125,32.697385684619,"Young"
"GSTZ1",33.4727054728979,28.5850911270634,-4.88761434583453,"Young"
"PRKAB2",14.9889906941164,19.4453503178923,4.45635962377589,"Young"
"AP1G1",10.495643804124,11.2676091391999,0.771965335075992,"Young"
"SYNGR2",22.0695535812732,19.9245881226077,-2.14496545866544,"Young"
"SGTA",14.3232232900775,22.2780806750186,7.95485738494118,"Young"
"ENSA",24.7082969716951,31.088517137789,6.38022016609392,"Young"
"SLC25A20",29.3355246313081,27.2619748407132,-2.0735497905949,"Young"
"NARS1",37.7282776805822,20.9460064172737,-16.7822712633085,"Young"
