uniprot_id,contrast,max_rank_shift,min_rank,max_rank,sensitive,gene
P19075,Training_Young,1246,445,1691,TRUE,TSPAN8
P14406,Training_Young,1301,465,1766,TRUE,COX7A2
Q13177,Training_Young,227,239,466,TRUE,PAK2
Q99460,Training_Young,191,276,467,TRUE,PSMD1
P60842,Training_Young,1576,419,1995,TRUE,EIF4A1
P15088,Training_Young,845,469,1314,TRUE,CPA3
Q92879,Training_Young,774,415,1189,TRUE,CELF1
P30044,Training_Young,976,290,1266,TRUE,PRDX5
O75874,Training_Young,1518,472,1990,TRUE,IDH1
P46976,Training_Young,1190,278,1468,TRUE,GYG1
P05198,Training_Young,262,212,474,TRUE,EIF2S1
Q9UHX1,Training_Young,1236,440,1676,TRUE,PUF60
P07585,Training_Young,931,435,1366,TRUE,DCN
Q52LJ0,Training_Young,930,477,1407,TRUE,FAM98B
Q9NX63,Training_Young,1709,396,2105,TRUE,CHCHD3
Q9UKU7,Training_Young,993,479,1472,TRUE,ACAD8
O43707,Training_Young,424,446,870,TRUE,ACTN4
Q9UHY7,Training_Young,1631,481,2112,TRUE,ENOPH1
Q92629,Training_Young,1407,482,1889,TRUE,SGCD
Q16891,Training_Young,1801,299,2100,TRUE,IMMT
